eup_loc_uid,unit_count,bsl_flag,building_type_code,land_use_code,county_geoid,block_geoid,h3_9,latitude,longitude,fcc_rel
2c92c1417c770306,1,True,R,1,26033,260339707001051,8927630f473ffff,46.59032646,-85.03681738,12312023
7a7e6b475f2aeca9,1,True,B,2,26033,260339707001151,8927630a9a3ffff,46.60804123,-85.03997869,12312023
1230e3349196af4b,1,True,R,4,26033,260339707001054,8927630ad8fffff,46.63405283,-85.0350402,12312023
03d3e343219b0e31,1,True,R,1,26033,260339707001051,8927630f457ffff,46.59393072,-85.0370174,12312023
5a1053402de83031,1,True,R,4,26033,260339707001076,8927630adabffff,46.62866229,-85.03624032,12312023
b27cfc574123c625,1,True,R,4,26033,260339707001052,8927630ad07ffff,46.62790112,-85.03836753,12312023
0cd6378f2d8fbf6c,1,True,R,4,26033,260339707001076,8927630ad33ffff,46.62715714,-85.03592329,12312023
0d1131675d62b275,1,True,R,4,26033,260339707001075,8927630ad33ffff,46.62689601,-85.03773947,12312023
4846273479fc92b3,1,True,R,4,26033,260339707001054,8927630ad17ffff,46.6317215,-85.03571227,12312023
1a28d78e5b31e760,2,True,X,4,26033,260339707001054,8927630ad8fffff,46.63444187,-85.03560126,12312023
fdf98ac8e785c946,1,True,R,4,26033,260339707001054,8927630adabffff,46.63015144,-85.03597829,12312023
f7431552a161f7a9,1,True,R,4,26033,260339707001076,8927630ad33ffff,46.62764119,-85.03623432,12312023
237c8443e78c5d6a,1,True,R,1,26097,260979505004019,89276e4b39bffff,45.89886621,-84.73751745,12312023
6dbe3e0fecfbfb8a,1,True,R,1,26097,260979505004019,89276e4b39bffff,45.8987212,-84.73776747,12312023
2ed61c53213690d7,1,True,R,1,26097,260979505004019,89276e4b39bffff,45.89905833,-84.73778447,12312023
e49c110066cfa07f,1,True,B,3,26097,260979505004019,89276e4b39bffff,45.89918234,-84.73738443,12312023
f0778ac3f0697e72,1,True,R,1,26097,260979505004020,89276e4b39bffff,45.89946737,-84.73786748,12312023
e2286ef2dcae3d79,2,True,X,2,26097,260979505004020,89276e4b39bffff,45.89989731,-84.73776747,12312023
2861666580ad5a64,1,True,R,1,26097,260979505004020,89276e4b39bffff,45.89984031,-84.73750645,12312023
8657b1e707bc5bb5,1,True,R,1,26097,260979505004014,89276e4b39bffff,45.90018644,-84.73750645,12312023
cf072d45837f2c9e,1,True,R,1,26097,260979505004014,89276e4b39bffff,45.90019744,-84.73782348,12312023
af1fae4473bc28ad,2,True,X,3,26097,260979505004015,89276e4b39bffff,45.90100753,-84.73687838,12312023
42a67073c7875aac,1,True,R,1,26097,260979505004015,89276e4b06fffff,45.90103653,-84.73789548,12312023
0541a5ed9095e68a,1,True,R,1,26097,260979505004012,89276e4b06fffff,45.9017075,-84.73765646,12312023
0b2c0593f2681877,1,True,B,3,26097,260979505004025,89276e4b383ffff,45.89754118,-84.73488918,12312023
88b97e71fd7b2a73,2,True,X,3,26097,260979505004025,89276e4b383ffff,45.89727115,-84.73498919,12312023
b67b5405c9112b32,1,True,R,1,26097,260979505004025,89276e4b383ffff,45.89743717,-84.73465616,12312023
16e9bd9f3a8158e2,1,True,B,3,26097,260979505004025,89276e4b383ffff,45.89788211,-84.73517321,12312023
9099d528296237ef,1,True,R,1,26097,260979505004009,89276e4b067ffff,45.90139156,-84.7350562,12312023
6d62c2359444670d,1,True,R,1,26097,260979505004020,89276e4b39bffff,45.8997673,-84.7370014,12312023
c25681cb03d7f86b,1,True,B,3,26097,260979505004019,89276e4b39bffff,45.8987772,-84.73688938,12312023
577c0d2f227f459e,1,True,B,3,26097,260979505004018,89276e4b39bffff,45.89815624,-84.73679537,12312023
20260b3cdad54c61,1,True,R,1,26097,260979505004021,89276e4b39bffff,45.89957638,-84.73613931,12312023
e1f31496916a321c,1,True,R,1,26097,260979505004024,89276e4b39bffff,45.89885121,-84.7360563,12312023
2a9e35107c21d70b,1,True,B,3,26097,260979505004008,89276e4b39bffff,45.89829625,-84.73542824,12312023
3ff8514f18ca1b4b,2,True,X,2,26097,260979505004039,89276e4b383ffff,45.89711714,-84.73442314,12312023
f40be10dffd401fa,6,True,X,0,26097,260979505004039,89276e4b383ffff,45.896768,-84.73358405,12312023
154d6fe33b3c31b2,10,True,X,0,26097,260979505004039,89276e4b383ffff,45.89688601,-84.73432813,12312023
12f9d03d0e0dfb4f,11,True,X,0,26097,260979505004039,89276e4b383ffff,45.896701,-84.73396709,12312023
9f20cd8b263d7ab8,1,True,B,3,26097,260979505004022,89276e4b39bffff,45.90051248,-84.73615131,12312023
a9f2544aad975417,1,True,R,1,26097,260979505004012,89276e4b06fffff,45.9017105,-84.73713941,12312023
a8109180d6be16a5,1,True,R,1,26097,260979505004026,89276e4b38bffff,45.89737116,-84.7370454,12312023
84ae46adbdcd9910,1,True,R,1,26097,260979505004026,89276e4b38bffff,45.89737016,-84.73711741,12312023
8dcff7f3a4e100dd,1,True,R,1,26097,260979505004015,89276e4b06fffff,45.90138756,-84.73754545,12312023
e6192380a71f7690,2,True,X,2,26097,260979505004020,89276e4b39bffff,45.89951738,-84.73759045,12312023
2e7e0acafa0e5853,1,True,R,1,26097,260979505004021,89276e4b39bffff,45.89996732,-84.73589028,12312023
de1e3f8ff48f80c9,1,True,R,1,26097,260979505004024,89276e4b39bffff,45.89925135,-84.73625632,12312023
c9a2d63e3a7e8ba4,1,True,R,4,26097,260979504003020,89276e482cfffff,45.85625705,-84.73677837,12312023
4dceb4151f0a9b1d,1,True,B,3,26097,260979504003020,89276e48257ffff,45.85455888,-84.73578427,12312023
f76105382175e545,1,True,R,1,26097,260979504003032,89276e482dbffff,45.86265869,-84.73574027,12312023
266a28b7561f179b,1,True,R,1,26097,260979504003032,89276e482d3ffff,45.86316174,-84.73563426,12312023
6480bb27551ea49d,1,True,B,2,26097,260979504003028,89276e482c3ffff,45.85847227,-84.73557325,12312023
b6858aefa37b4226,1,True,R,1,26097,260979504003035,89276e482c3ffff,45.86126255,-84.73326202,12312023
5205f167f44c8e54,1,True,R,1,26097,260979504003035,89276e482c3ffff,45.86117054,-84.73412811,12312023
f4309a07b9f5df14,1,True,R,1,26097,260979504003032,89276e482d3ffff,45.8617775,-84.73424512,12312023
18d672ef45bb27c8,1,True,R,1,26097,260979504003032,89276e482d3ffff,45.86187151,-84.73355605,12312023
a9af7ef415d4d8cc,1,True,R,1,26097,260979504003032,89276e482d3ffff,45.86217064,-84.73531723,12312023
044834976a07f9c4,2,True,R,1,26097,260979504003032,89276e482d3ffff,45.86242767,-84.7340891,12312023
6168be9d0641de92,1,True,R,1,26097,260979504003032,89276e482d3ffff,45.86323675,-84.73479517,12312023
ce7becfb46013217,1,True,R,1,26097,260979504003023,89276e482dbffff,45.86262869,-84.73664036,12312023
1cd0c79a1496c665,1,True,R,1,26097,260979504003023,89276e482dbffff,45.86302673,-84.73680638,12312023
b1a5ac36f4178d44,1,True,R,1,26097,260979504003023,89276e482dbffff,45.86320775,-84.73687838,12312023
2f00f40e1c234602,1,True,B,3,26097,260979504003028,89276e48253ffff,45.85668209,-84.74025172,12312023
9ac019adb15174ee,1,True,B,3,26097,260979504003028,89276e48253ffff,45.85672,-84.73950665,12312023
1af6326679b32d9f,1,True,B,3,26097,260979504003028,89276e482cfffff,45.85708813,-84.73685138,12312023
c5e2bb824a8351a4,1,True,B,3,26097,260979504003028,89276e482cfffff,45.85704213,-84.73618431,12312023
e5e81dcf1d667b93,1,True,B,3,26097,260979504003028,89276e482cfffff,45.85720215,-84.73466216,12312023
ad1a9985c18c81e1,1,True,B,3,26097,260979504003028,89276e482c7ffff,45.85740217,-84.73374007,12312023
7b2d75967fd8820d,1,True,R,4,26033,260339707001075,8927630ad33ffff,46.62639106,-85.03779047,12312023
697a8f507c8c27f6,1,True,R,4,26033,260339707001054,8927630ad17ffff,46.63208263,-85.03524022,12312023
2554de87a36ec726,1,True,R,4,26033,260339707001059,8927630ad03ffff,46.63052148,-85.04418911,12312023
68dce02b9259971d,1,True,R,4,26033,260339707001057,8927630ad93ffff,46.64111154,-85.03425612,12312023
f435daaf4ffbfc18,1,True,R,4,26033,260339707001075,8927630ad33ffff,46.62717714,-85.03774547,12312023
ad1908722b169feb,1,True,R,4,26033,260339707001052,8927630ad07ffff,46.62813724,-85.03770147,12312023
4d2914f08934c0da,2,True,X,4,26033,260339707001076,8927630ad33ffff,46.626717,-85.03667836,12312023
